transaction_date,value_date,description,reference_number,debit,credit,balance,currency
2026-08-21,2026-08-21,NEFT CR CUSTOMER / VENDOR REF NEFT20260821,NEFT20260821,0.00,457.00,2500457.00,INR
2026-08-21,2026-08-21,NEFT CR CUSTOMER / VENDOR REF NEFT20260822,NEFT20260822,0.00,594.00,2501051.00,INR
2026-08-21,2026-08-21,NEFT CR CUSTOMER / VENDOR REF NEFT20260823,NEFT20260823,0.00,731.00,2501782.00,INR
2026-08-21,2026-08-21,NEFT CR CUSTOMER / VENDOR REF NEFT20260824,NEFT20260824,0.00,868.00,2502650.00,INR
2026-08-21,2026-08-21,NEFT CR CUSTOMER / VENDOR REF NEFT20260825,NEFT20260825,0.00,1005.00,2503655.00,INR
2026-08-21,2026-08-21,NEFT CR RAZORPAY SETTLEMENT HDFCINBB202609001701,HDFCINBB202609001701,0.00,"₹13,287.43",2516942.43,INR
2026-08-22,2026-08-22,NEFT CR CUSTOMER / VENDOR REF NEFT20260826,NEFT20260826,0.00,1142.00,2518084.43,INR
2026-08-22,2026-08-22,NEFT CR CUSTOMER / VENDOR REF NEFT20260827,NEFT20260827,0.00,1279.00,2519363.43,INR
2026-08-22,2026-08-22,NEFT CR CUSTOMER / VENDOR REF NEFT20260828,NEFT20260828,0.00,1416.00,2520779.43,INR
2026-08-22,2026-08-22,NEFT CR CUSTOMER / VENDOR REF NEFT20260829,NEFT20260829,0.00,1553.00,2522332.43,INR
2026-08-22,2026-08-22,NEFT CR CUSTOMER / VENDOR REF NEFT20260830,NEFT20260830,0.00,1690.00,2524022.43,INR
2026-08-22,2026-08-22,NEFT CR RAZORPAY SETTLEMENT HDFCINBB202609002702,HDFCINBB202609002702,0.00,11131.63,2535154.06,INR
2026-08-22,2026-08-22,UPI/IMPS DR ROUTINE PAYMENT UPI000000000001,UPI000000000001,158.00,0.00,2534996.06,INR
2026-08-22,2026-08-22,UPI/IMPS DR ROUTINE PAYMENT UPI000000000002,UPI000000000002,241.00,0.00,2534755.06,INR
2026-08-22,2026-08-22,UPI/IMPS DR ROUTINE PAYMENT UPI000000000003,UPI000000000003,324.00,0.00,2534431.06,INR
2026-08-22,2026-08-22,UPI/IMPS DR ROUTINE PAYMENT UPI000000000004,UPI000000000004,407.00,0.00,2534024.06,INR
2026-08-23,2026-08-23,NEFT CR CUSTOMER / VENDOR REF NEFT20260831,NEFT20260831,0.00,1827.00,2535851.06,INR
2026-08-23,2026-08-23,NEFT CR CUSTOMER / VENDOR REF NEFT20260832,NEFT20260832,0.00,1964.00,2537815.06,INR
2026-08-23,2026-08-23,NEFT CR CUSTOMER / VENDOR REF NEFT20260833,NEFT20260833,0.00,2101.00,2539916.06,INR
2026-08-23,2026-08-23,NEFT CR CUSTOMER / VENDOR REF NEFT20260834,NEFT20260834,0.00,2238.00,2542154.06,INR
2026-08-23,2026-08-23,NEFT CR CUSTOMER / VENDOR REF NEFT20260835,NEFT20260835,0.00,2375.00,2544529.06,INR
2026-08-23,2026-08-23,NEFT-CR RZP SETL HDFCINBB202609003703,HDFCINBB202609003703,0.00,12073.65,2556602.71,INR
2026-08-23,2026-08-23,UPI/IMPS DR ROUTINE PAYMENT UPI000000000005,UPI000000000005,490.00,0.00,2556112.71,INR
2026-08-23,2026-08-23,UPI/IMPS DR ROUTINE PAYMENT UPI000000000006,UPI000000000006,573.00,0.00,2555539.71,INR
2026-08-23,2026-08-23,UPI/IMPS DR ROUTINE PAYMENT UPI000000000007,UPI000000000007,656.00,0.00,2554883.71,INR
2026-08-23,2026-08-23,UPI/IMPS DR ROUTINE PAYMENT UPI000000000008,UPI000000000008,739.00,0.00,2554144.71,INR
2026-08-24,2026-08-24,NEFT CR ACME CONSULTING REF 873421,873421,0.00,18450.00,2572594.71,INR
2026-08-24,2026-08-24,NEFT CR CUSTOMER / VENDOR REF NEFT20260836,NEFT20260836,0.00,2512.00,2575106.71,INR
2026-08-24,2026-08-24,NEFT CR CUSTOMER / VENDOR REF NEFT20260837,NEFT20260837,0.00,2649.00,2577755.71,INR
2026-08-24,2026-08-24,NEFT CR CUSTOMER / VENDOR REF NEFT20260838,NEFT20260838,0.00,2786.00,2580541.71,INR
2026-08-24,2026-08-24,NEFT CR CUSTOMER / VENDOR REF NEFT20260839,NEFT20260839,0.00,2923.00,2583464.71,INR
2026-08-24,2026-08-24,NEFT CR CUSTOMER / VENDOR REF NEFT20260840,NEFT20260840,0.00,3060.00,2586524.71,INR
2026-08-24,2026-08-24,NEFT CR RAZORPAY SETTLEMENT HDFCINBB202609004704,HDFCINBB202609004704,0.00,"11,456.82",2597981.53,INR
2026-08-24,2026-08-24,UPI/IMPS DR ROUTINE PAYMENT UPI000000000009,UPI000000000009,822.00,0.00,2597159.53,INR
2026-08-24,2026-08-24,UPI/IMPS DR ROUTINE PAYMENT UPI000000000010,UPI000000000010,905.00,0.00,2596254.53,INR
2026-08-24,2026-08-24,UPI/IMPS DR ROUTINE PAYMENT UPI000000000011,UPI000000000011,88.00,0.00,2596166.53,INR
2026-08-24,2026-08-24,UPI/IMPS DR ROUTINE PAYMENT UPI000000000012,UPI000000000012,171.00,0.00,2595995.53,INR
2026-08-25,2026-08-25,NEFT CR CUSTOMER / VENDOR REF NEFT20260841,NEFT20260841,0.00,3197.00,2599192.53,INR
2026-08-25,2026-08-25,NEFT CR CUSTOMER / VENDOR REF NEFT20260842,NEFT20260842,0.00,3334.00,2602526.53,INR
2026-08-25,2026-08-25,NEFT CR CUSTOMER / VENDOR REF NEFT20260843,NEFT20260843,0.00,3471.00,2605997.53,INR
2026-08-25,2026-08-25,NEFT CR CUSTOMER / VENDOR REF NEFT20260844,NEFT20260844,0.00,3608.00,2609605.53,INR
2026-08-25,2026-08-25,NEFT CR CUSTOMER / VENDOR REF NEFT20260845,NEFT20260845,0.00,3745.00,2613350.53,INR
2026-08-25,2026-08-25,NEFT CR RAZORPAY SETTLEMENT HDFCINBB202609004704,HDFCINBB202609004704,0.00,11456.82,2624807.35,INR
2026-08-25,2026-08-25,NEFT CR RAZORPAY SETTLEMENT HDFCINBB202609005705,  hdfcinbb202609005705  ,0.00,13264.13,2638071.48,INR
2026-08-25,2026-08-25,UPI/IMPS DR ROUTINE PAYMENT UPI000000000013,UPI000000000013,254.00,0.00,2637817.48,INR
2026-08-25,2026-08-25,UPI/IMPS DR ROUTINE PAYMENT UPI000000000014,UPI000000000014,337.00,0.00,2637480.48,INR
2026-08-25,2026-08-25,UPI/IMPS DR ROUTINE PAYMENT UPI000000000015,UPI000000000015,420.00,0.00,2637060.48,INR
2026-08-25,2026-08-25,UPI/IMPS DR ROUTINE PAYMENT UPI000000000016,UPI000000000016,503.00,0.00,2636557.48,INR
2026-08-26,2026-08-26,NEFT CR CUSTOMER / VENDOR REF NEFT20260846,NEFT20260846,0.00,3882.00,2640439.48,INR
2026-08-26,2026-08-26,NEFT CR CUSTOMER / VENDOR REF NEFT20260847,NEFT20260847,0.00,4019.00,2644458.48,INR
2026-08-26,2026-08-26,NEFT CR CUSTOMER / VENDOR REF NEFT20260848,NEFT20260848,0.00,4156.00,2648614.48,INR
2026-08-26,2026-08-26,NEFT CR CUSTOMER / VENDOR REF NEFT20260849,NEFT20260849,0.00,4293.00,2652907.48,INR
2026-08-26,2026-08-26,NEFT CR CUSTOMER / VENDOR REF NEFT20260850,NEFT20260850,0.00,4430.00,2657337.48,INR
