transaction_entity,entity_id,amount,currency,fee (exclusive tax),tax,debit,credit,payment_method,entity_created_at,payment_captured_at,order_id,settlement_id,settled_at,settlement_utr,settled_by
payment,pay_Q2001Ab,1299.00,INR,24.68,4.44,0.00,1269.88,upi,2026-08-18 00:05:00,2026-08-18 00:06:00,order_Q2001Xz,setl_S001,2026-08-21 13:12:00,HDFCINBB202609001701,Razorpay
payment,pay_Q2002Ab,849.50,INR,17.84,3.21,0.00,828.45,card,2026-08-18 00:14:00,2026-08-18 00:15:00,order_Q2002Xz,setl_S001,2026-08-21 13:14:00,HDFCINBB202609001701,Razorpay
payment,pay_Q2003Ab,2199.90,INR,38.50,6.93,0.00,2154.47,netbanking,2026-08-18 00:23:00,2026-08-18 00:24:00,order_Q2003Xz,setl_S001,2026-08-21 13:16:00,HDFCINBB202609001701,Razorpay
payment,pay_Q2004Ab,499.00,INR,9.98,1.80,0.00,487.22,wallet,2026-08-18 00:32:00,2026-08-18 00:33:00,order_Q2004Xz,setl_S001,2026-08-21 13:18:00,HDFCINBB202609001701,Razorpay
payment,pay_Q2005Ab,1649.25,INR,37.93,6.83,0.00,1604.49,emi,2026-08-18 00:41:00,2026-08-18 00:42:00,order_Q2005Xz,setl_S001,2026-08-21 13:20:00,HDFCINBB202609001701,Razorpay
payment,pay_Q2006Ab,2799.00,INR,53.18,9.57,0.00,2736.25,upi,2026-08-18 00:50:00,2026-08-18 00:51:00,order_Q2006Xz,setl_S001,2026-08-21 13:22:00,HDFCINBB202609001701,Razorpay
payment,pay_Q2007Ab,799.00,INR,16.78,3.02,0.00,779.20,card,2026-08-18 00:59:00,2026-08-18 01:00:00,order_Q2007Xz,setl_S001,2026-08-21 13:24:00,HDFCINBB202609001701,Razorpay
payment,pay_Q2008Ab,3499.75,INR,61.25,11.03,0.00,3427.47,netbanking,2026-08-18 01:08:00,2026-08-18 01:09:00,order_Q2008Xz,setl_S001,2026-08-21 13:10:00,HDFCINBB202609001701,Razorpay
payment,pay_Q2009Ab,1190.00,INR,23.80,4.28,0.00,1161.92,wallet,2026-08-19 00:05:00,2026-08-19 00:06:00,order_Q2009Xz,setl_S002,2026-08-22 13:12:00,HDFCINBB202609002702,Razorpay
payment,pay_Q2010Ab,640.00,INR,14.72,2.65,0.00,622.63,emi,2026-08-19 00:14:00,2026-08-19 00:15:00,order_Q2010Xz,setl_S002,2026-08-22 13:14:00,HDFCINBB202609002702,Razorpay
payment,pay_Q2011Ab,1899.00,INR,36.08,6.49,0.00,1856.43,upi,2026-08-19 00:23:00,2026-08-19 00:24:00,order_Q2011Xz,setl_S002,2026-08-22 13:16:00,HDFCINBB202609002702,Razorpay
payment,pay_Q2012Ab,925.50,INR,19.44,3.50,0.00,902.56,card,2026-08-19 00:32:00,2026-08-19 00:33:00,order_Q2012Xz,setl_S002,2026-08-22 13:18:00,HDFCINBB202609002702,Razorpay
payment,pay_Q2013Ab,2499.00,INR,43.73,7.87,0.00,2447.40,netbanking,2026-08-19 00:41:00,2026-08-19 00:42:00,order_Q2013Xz,setl_S002,2026-08-22 13:20:00,HDFCINBB202609002702,Razorpay
payment,pay_Q2014Ab,1399.00,INR,27.98,5.04,0.00,1365.98,wallet,2026-08-19 00:50:00,2026-08-19 00:51:00,order_Q2014Xz,setl_S002,2026-08-22 13:22:00,HDFCINBB202609002702,Razorpay
payment,pay_Q2015Ab,2290.40,INR,52.68,9.48,0.00,2228.24,emi,2026-08-19 00:59:00,2026-08-19 01:00:00,order_Q2015Xz,setl_S002,2026-08-22 13:24:00,HDFCINBB202609002702,Razorpay
payment,pay_Q2016Ab,559.00,INR,10.62,1.91,0.00,546.47,upi,2026-08-19 01:08:00,2026-08-19 01:09:00,order_Q2016Xz,setl_S002,2026-08-22 13:10:00,HDFCINBB202609002702,Razorpay
