merchant_order_id,gateway_order_id,gross_amount,order_created_at,customer_reference,order_status,source_system
INV-2026-2001,order_Q2001Xz,1299.00,2026-08-18 00:05:00,CUST-3001,PAID,Shopify
INV-2026-2002,order_Q2002Xz,849.50,2026-08-18 00:14:00,CUST-3002,PAID,Shopify
INV-2026-2003,order_Q2003Xz,"Rs. 2,199.90",2026-08-18 00:23:00,CUST-3003,PAID,Shopify
INV-2026-2004,order_Q2004Xz,499.00,2026-08-18 00:32:00,CUST-3004,PAID,Shopify
INV-2026-2005,order_Q2005Xz,1649.25,2026-08-18 00:41:00,CUST-3005,PAID,Shopify
INV-2026-2006,order_Q2006Xz,2799.00,2026-08-18 00:50:00,CUST-3006,PAID,Shopify
INV-2026-2007,order_Q2007Xz,799.00,2026-08-18 00:59:00,CUST-3007,PAID,Shopify
INV-2026-2008,order_Q2008Xz,3499.75,2026-08-18 01:08:00,CUST-3008,PAID,Shopify
INV-2026-2009,order_Q2009Xz,1190.00,2026-08-19 00:05:00,CUST-3009,PAID,Shopify
INV-2026-2010,order_Q2010Xz,640.00,2026-08-19 00:14:00,CUST-3010,PAID,Shopify
INV-2026-2011,order_Q2011Xz,1899.00,2026-08-19 00:23:00,CUST-3011,PAID,Shopify
INV-2026-2012,order_Q2012Xz,925.50,2026-08-19 00:32:00,CUST-3012,PAID,Shopify
INV-2026-2013,order_Q2013Xz,2499.00,2026-08-19 00:41:00,CUST-3013,PAID,Shopify
INV-2026-2014,order_Q2014Xz,1399.00,2026-08-19 00:50:00,CUST-3014,PAID,Shopify
INV-2026-2015,order_Q2015Xz,2290.40,2026-08-19 00:59:00,CUST-3015,PAID,Shopify
INV-2026-2016,order_Q2016Xz,559.00,2026-08-19 01:08:00,CUST-3016,PAID,Shopify
INV-2026-2017,order_Q2017Xz,"1,749.00",2026-08-20 00:05:00,CUST-3017,PAID,Shopify
INV-2026-2018,order_Q2018Xz,1749.00,2026-08-20 00:14:00,CUST-3018,PAID,Shopify
INV-2026-2019,order_Q2019Xz,3290.00,2026-08-20 00:23:00,CUST-3019,PAID,Shopify
INV-2026-2020,order_Q2020Xz,1250.75,2026-08-20 00:32:00,CUST-3020,PAID,Shopify
INV-2026-2021,order_Q2021Xz,799.99,2026-08-20 00:41:00,CUST-3021,PAID,Shopify
INV-2026-2022,order_Q2022Xz,2100.00,2026-08-20 00:50:00,CUST-3022,PAID,Shopify
INV-2026-2023,order_Q2023Xz,1499.00,2026-08-20 00:59:00,CUST-3023,PAID,Shopify
INV-2026-2024,order_Q2024Xz,675.25,2026-08-20 01:08:00,CUST-3024,PAID,Shopify
INV-2026-2025,order_Q2025Xz,1890.00,2026-08-21 00:05:00,CUST-3025,PAID,Shopify
INV-2026-2026,order_Q2026Xz,890.00,2026-08-21 00:14:00,CUST-3026,PAID,Shopify
INV-2026-2027,order_Q2027Xz,2599.00,2026-08-21 00:23:00,CUST-3027,PAID,Shopify
INV-2026-2028,order_Q2028Xz,₹ 719.00,2026-08-21 00:32:00,CUST-3028,PAID,Shopify
INV-2026-2029,order_Q2029Xz,999.50,2026-08-21 00:41:00,CUST-3029,PAID,Shopify
INV-2026-2030,order_Q2030Xz,1699.00,2026-08-21 00:50:00,CUST-3030,PAID,Shopify
INV-2026-2031,order_Q2031Xz,2349.00,2026-08-21 00:59:00,CUST-3031,PAID,Shopify
INV-2026-2032,order_Q2032Xz,599.00,2026-08-21 01:08:00,CUST-3032,PAID,Shopify
INV-2026-2033,order_Q2033X,1299.00,2026-08-22 00:05:00,CUST-3033,PAID,Shopify
INV-2026-2034,order_Q2034Xz,849.50,2026-08-22 00:14:00,CUST-3034,PARTIALLY_REFUNDED,Shopify
INV-2026-2035,order_Q2035Xz,2199.90,2026-08-22 00:23:00,CUST-3035,PAID,Shopify
INV-2026-2036,order_Q2036Xz,499.00,2026-08-22 00:32:00,CUST-3036,PAID,Shopify
INV-2026-2037,order_Q2037Xz,1649.25,2026-08-22 00:41:00,CUST-3037,PAID,Shopify
INV-2026-2038,order_Q2038Xz,2799.00,2026-08-22 00:50:00,CUST-3038,PAID,Shopify
INV-2026-2039,order_Q2039Xz,799.00,2026-08-22 00:59:00,CUST-3039,PAID,Shopify
INV-2026-2040,order_Q2040Xz,3499.75,2026-08-22 01:08:00,CUST-3040,PAID,Shopify
INV-2026-2041,order_Q2041Xz,1190.00,2026-08-23 00:05:00,CUST-3041,PAID,Shopify
INV-2026-2042,order_Q2042X,642.00,2026-08-23 00:14:00,CUST-3042,PAID,Shopify
INV-2026-2043,order_Q2043Xz,1899.00,2026-08-23 00:23:00,CUST-3043,PAID,Shopify
INV-2026-2044,order_Q2044Xz,925.50,2026-08-23 00:32:00,CUST-3044,PAID,Shopify
INV-2026-2045,order_Q2045Xz,2499.00,2026-08-23 00:41:00,CUST-3045,PAID,Shopify
INV-2026-2046,order_Q2046Xz,1399.00,2026-08-23 00:50:00,CUST-3046,PAID,Shopify
INV-2026-2047,order_Q2047Xz,2290.40,2026-08-23 00:59:00,CUST-3047,PAID,Shopify
INV-2026-2048,order_Q2048Xz,559.00,2026-08-23 01:08:00,CUST-3048,PAID,Shopify
INV-2026-2049,order_Q2049Xz,"2,499.00",2026-08-24 00:05:00,CUST-3049,PAID,Shopify
INV-2026-2050,order_Q2050Xz,1749.00,2026-08-24 00:14:00,CUST-3050,PAID,Shopify
INV-2026-2051,order_Q20XX,3290.00,2026-08-24 00:23:00,CUST-3051,PAID,Shopify
INV-2026-2052,order_Q2052Xz,1250.75,2026-08-24 00:32:00,CUST-3052,PAID,Shopify
INV-2026-2053,order_Q2053Xz,799.99,2026-08-24 00:41:00,CUST-3053,PAID,Shopify
INV-2026-2054,order_Q2054Xz,2100.00,2026-08-24 00:50:00,CUST-3054,PAID,Shopify
INV-2026-2055,order_Q2055Xz,1649.00,2026-08-24 00:59:00,CUST-3055,PAID,Shopify
INV-2026-2056,order_Q2056Xz,675.25,2026-08-24 01:08:00,CUST-3056,PAID,Shopify
INV-2026-2057,order_Q2057Xz,1890.00,2026-08-25 00:05:00,CUST-3057,REFUNDED,Shopify
INV-2026-2058,order_Q2058Xz,890.00,2026-08-25 00:14:00,CUST-3058,PAID,Shopify
