transaction_date,value_date,description,reference_number,debit,credit,balance,currency
2026-08-21,2026-08-21,NEFT CR RAZORPAY SETTLEMENT HDFCINBB2026800000,HDFCINBB2026800000,0.00,8131.48,2528068.41,INR
2026-08-22,2026-08-22,NEFT CR RAZORPAY SETTLEMENT HDFCINBB2026800111,HDFCINBB2026800111,0.00,3185.55,2513137.08,INR
2026-08-23,2026-08-23,NEFT-CR RZP SETL HDFCINBB2026800222,,0.00,9890.42,2529229.30,INR
2026-08-24,2026-08-24,NEFT CR RAZORPAY SETTLEMENT HDFCINBB2026800333,HDFCINBB2026800333,0.00,6572.41,2544891.14,INR
2026-08-26,2026-08-26,NEFT CR RAZORPAY SETTLEMENT HDFCINBB2026800555,HDFCINBB2026800555,0.00,8430.47,2519970.03,INR
2026-08-27,2026-08-27,NEFT CR RAZORPAY SETTLEMENT HDFCINBB2026800666,HDFCINBB2026800666,0.00,9421.74,2510966.04,INR
2026-08-28,2026-08-28,NEFT CR RAZORPAY SETTLEMENT HDFCINBB2026800777,HDFCINBB2026800777,0.00,5227.57,2549876.88,INR
2026-08-29,2026-08-29,NEFT CR RAZORPAY SETTLEMENT HDFCINBB2026800888,HDFCINBB2026800888,0.00,6211.91,2525476.31,INR
2026-08-30,2026-08-30,NEFT CR RAZORPAY SETTLEMENT HDFCINBB2026800999,HDFCINBB2026800999,0.00,9363.14,2504545.47,INR
NOT-A-DATE,NOT-A-DATE,NEFT CR RAZORPAY SETTLEMENT UNKNOWNUTR000000,UNKNOWNUTR000000,0.00,1000.00,2600000.00,INR
