merchant_order_id,gateway_order_id,gross_amount,order_created_at,customer_reference,order_status,source_system
INV-2026-1001,order_Q1001xz,1990.40,2026-08-20 10:00:00,CUST-1001,PAID,Shopify
INV-2026-1002,order_Q1002xz,2276.34,2026-08-20 10:07:00,CUST-1002,PAID,Shopify
INV-2026-1003,order_Q1003xz,824.99,2026-08-20 10:14:00,CUST-1003,PAID,Shopify
INV-2026-1004,order_Q1004xz,486.99,2026-08-20 10:21:00,CUST-1004,PAID,Shopify
INV-2026-1005,order_Q1005xz,2698.10,2026-08-20 10:28:00,CUST-1005,PAID,Shopify
INV-2026-1006,order_Q1006xz,1853.38,2026-08-21 10:00:00,CUST-1006,PAID,Shopify
INV-2026-1007,order_Q1007xz,283.43,2026-08-21 10:07:00,CUST-1007,PAID,Shopify
INV-2026-1008,order_Q1008xz,851.45,2026-08-21 10:14:00,CUST-1008,PAID,Shopify
INV-2026-1009,order_Q1009xz,274.30,2026-08-21 10:21:00,CUST-1009,PAID,Shopify
INV-2026-1011,order_Q1011xz,1725.84,2026-08-22 10:00:00,CUST-1011,PAID,Shopify
INV-2026-1012,order_Q1012xz,1457.79,2026-08-22 10:07:00,CUST-1012,PAID,Shopify
INV-2026-1013,order_Q1013xz,2466.41,2026-08-22 10:14:00,CUST-1013,PAID,Shopify
INV-2026-1014,order_Q1014xz,2324.66,2026-08-22 10:21:00,CUST-1014,PAID,Shopify
INV-2026-1015,order_Q1015xz,2154.79,2026-08-22 10:28:00,CUST-1015,PAID,Shopify
INV-2026-1016,order_Q1016xz,978.04,2026-08-23 10:00:00,CUST-1016,PAID,Shopify
INV-2026-1017,order_Q1017xz,2880.20,2026-08-23 10:07:00,CUST-1017,PAID,Shopify
INV-2026-1018,order_Q1018xz,486.19,2026-08-23 10:14:00,CUST-1018,PAID,Shopify
INV-2026-1019,order_Q1019xz,470.81,2026-08-23 10:21:00,CUST-1019,PAID,Shopify
INV-2026-1020,order_Q1020xz,1890.43,2026-08-23 10:28:00,CUST-1020,PAID,Shopify
INV-2026-1021,order_Q1021xz,2243.25,2026-08-24 10:00:00,CUST-1021,PAID,Shopify
INV-2026-1022,order_Q1022xz,549.51,2026-08-24 10:07:00,CUST-1022,PAID,Shopify
INV-2026-1023,order_Q1023xz,420.64,2026-08-24 10:14:00,CUST-1023,PAID,Shopify
INV-2026-1024,order_Q1024xz,2522.33,2026-08-24 10:21:00,CUST-1024,PAID,Shopify
INV-2026-1025,order_Q1025xz,2679.26,2026-08-24 10:28:00,CUST-1025,PAID,Shopify
INV-2026-1026,order_Q1026xz,1816.59,2026-08-25 10:00:00,CUST-1026,PAID,Shopify
INV-2026-1027,order_Q1027xz,394.75,2026-08-25 10:07:00,CUST-1027,PAID,Shopify
INV-2026-1028,order_Q1028xz,838.12,2026-08-25 10:14:00,CUST-1028,PAID,Shopify
INV-2026-1029,order_Q1029xz,2958.62,2026-08-25 10:21:00,CUST-1029,PAID,Shopify
INV-2026-1030,order_Q1030xz,2626.15,2026-08-25 10:28:00,CUST-1030,PAID,Shopify
INV-2026-1031,order_Q1031xz,978.33,2026-08-26 10:00:00,CUST-1031,PAID,Shopify
INV-2026-1032,order_Q1032xz,2535.51,2026-08-26 10:07:00,CUST-1032,PAID,Shopify
INV-2026-1033,order_Q1033xz,1236.51,2026-08-26 10:14:00,CUST-1033,PAID,Shopify
INV-2026-1034,order_Q1034xz,2076.49,2026-08-26 10:21:00,CUST-1034,PAID,Shopify
INV-2026-1035,order_Q1035xz,2822.63,2026-08-26 10:28:00,CUST-1035,PAID,Shopify
INV-2026-1036,order_Q1036xz,399.93,2026-08-27 10:00:00,CUST-1036,PAID,Shopify
INV-2026-1037,order_Q1037xz,679.19,2026-08-27 10:07:00,CUST-1037,PAID,Shopify
INV-2026-1038,order_Q1038xz,885.47,2026-08-27 10:14:00,CUST-1038,PAID,Shopify
INV-2026-1039,order_Q1039xz,1262.48,2026-08-27 10:21:00,CUST-1039,PAID,Shopify
INV-2026-1040,order_Q1040xz,2126.85,2026-08-27 10:28:00,CUST-1040,PAID,Shopify
INV-2026-1041,order_Q1041xz,2116.92,2026-08-28 10:00:00,CUST-1041,PAID,Shopify
INV-2026-1042,order_Q1042xz,841.33,2026-08-28 10:07:00,CUST-1042,PAID,Shopify
INV-2026-1043,order_Q1043xz,2454.13,2026-08-28 10:14:00,CUST-1043,PAID,Shopify
INV-2026-1044,order_Q1044xz,949.67,2026-08-28 10:21:00,CUST-1044,PAID,Shopify
INV-2026-1045,order_Q1045xz,2756.78,2026-08-29 10:00:00,CUST-1045,PAID,Shopify
INV-2026-1046,order_Q1046xz,2653.83,2026-08-29 10:07:00,CUST-1046,PAID,Shopify
INV-2026-1047,order_Q1047xz,795.35,2026-08-29 10:14:00,CUST-1047,PAID,Shopify
INV-2026-1048,order_Q1048xz,1307.77,2026-08-29 10:21:00,CUST-1048,PAID,Shopify
INV-2026-1049,order_Q1049xz,1484.79,2026-08-29 10:28:00,CUST-1049,PAID,Shopify
INV-2026-1050,order_Q1050xz,590.96,2026-08-29 10:35:00,CUST-1050,PAID,Shopify
INV-2026-1010,order_Q1010xz,2204.85,2026-08-21 10:28:00,CUST-1010,PAID,Shopify
INV-2026-9001,order_QBAD001,N/A,2026-08-30 10:00:00,CUST-9001,PAID,Shopify
