transaction_entity,entity_id,amount,currency,fee (exclusive tax),tax,debit,credit,payment_method,entity_created_at,payment_captured_at,order_id,settlement_id,settled_at,settlement_utr,settled_by
payment,pay_Q1002ab,2040.40,INR,39.81,7.17,0.00,1993.42,upi,2026-08-20 10:00:00,2026-08-20 10:01:00,order_Q1001xz,setl_S001,2026-08-20 13:00:00,HDFCINBB2026800000,Razorpay
payment,pay_Q1003ab,2276.34,INR,45.53,8.20,0.00,2222.61,upi,2026-08-20 10:07:00,2026-08-20 10:08:00,order_Q1002xz,setl_S001,2026-08-20 13:00:00,HDFCINBB2026800000,Razorpay
payment,pay_Q1004ab,824.99,INR,16.50,2.97,0.00,805.52,netbanking,2026-08-20 10:14:00,2026-08-20 10:15:00,order_Q1003xz,setl_S001,2026-08-20 13:00:00,HDFCINBB2026800000,Razorpay
payment,pay_Q1005ab,486.99,INR,9.74,1.75,0.00,475.50,netbanking,2026-08-20 10:21:00,2026-08-20 10:22:00,order_Q1004xz,setl_S001,2026-08-20 13:00:00,HDFCINBB2026800000,Razorpay
payment,pay_Q1006ab,2698.10,INR,53.96,9.71,0.00,2634.43,upi,2026-08-20 10:28:00,2026-08-20 10:29:00,order_Q1005xz,setl_S001,2026-08-20 13:00:00,HDFCINBB2026800000,Razorpay
payment,pay_Q1007ab,1853.38,INR,37.07,6.67,0.00,1809.64,upi,2026-08-21 10:00:00,2026-08-21 10:01:00,order_Q1006xz,setl_S002,2026-08-21 13:00:00,HDFCINBB2026800111,Razorpay
payment,pay_Q1008ab,283.43,INR,5.67,1.02,0.00,276.74,upi,2026-08-21 10:07:00,2026-08-21 10:08:00,order_Q1007xz,setl_S002,2026-08-21 13:00:00,HDFCINBB2026800111,Razorpay
payment,pay_Q1009ab,851.45,INR,17.03,3.07,0.00,831.35,netbanking,2026-08-21 10:14:00,2026-08-21 10:15:00,order_Q1008xz,setl_S002,2026-08-21 13:00:00,HDFCINBB2026800111,Razorpay
payment,pay_Q1010ab,274.30,INR,5.49,0.99,0.00,267.82,upi,2026-08-21 10:21:00,2026-08-21 10:22:00,order_Q1009xz,setl_S002,2026-08-21 13:00:00,HDFCINBB2026800111,Razorpay
payment,pay_Q1012ab,1725.84,INR,34.52,6.21,0.00,1685.11,upi,2026-08-22 10:00:00,2026-08-22 10:01:00,order_Q1011xz,setl_S003,2026-08-22 13:00:00,HDFCINBB2026800222,Razorpay
payment,pay_Q1013ab,1457.79,INR,29.16,5.25,0.00,1423.38,card,2026-08-22 10:07:00,2026-08-22 10:08:00,order_Q1012xz,setl_S003,2026-08-22 13:00:00,HDFCINBB2026800222,Razorpay
payment,pay_Q1014ab,2466.41,INR,49.33,8.88,0.00,2408.20,upi,2026-08-22 10:14:00,2026-08-22 10:15:00,order_Q1013xz,setl_S003,2026-08-22 13:00:00,HDFCINBB2026800222,Razorpay
payment,pay_Q1015ab,2324.66,INR,46.49,8.37,0.00,2269.80,upi,2026-08-22 10:21:00,2026-08-22 10:22:00,order_Q1014xz,setl_S003,2026-08-22 13:00:00,HDFCINBB2026800222,Razorpay
payment,pay_Q1016ab,2154.79,INR,43.10,7.76,0.00,2103.93,card,2026-08-22 10:28:00,2026-08-22 10:29:00,order_Q1015xz,setl_S003,2026-08-22 13:00:00,HDFCINBB2026800222,Razorpay
